node,color
0,salmon
1,salmon
2,salmon
3,salmon
4,salmon
5,salmon
6,salmon
7,salmon
8,salmon
9,salmon
10,salmon
11,salmon
12,salmon
13,salmon
14,salmon
15,salmon
16,salmon
17,salmon
18,salmon
19,salmon
20,salmon
21,salmon
22,salmon
23,salmon
24,salmon
25,salmon
26,salmon
27,salmon
28,salmon
29,salmon
30,salmon
31,salmon
32,salmon
33,salmon
34,salmon
35,salmon
36,salmon
37,salmon
38,salmon
39,salmon
40,salmon
41,salmon
42,salmon
43,salmon
44,salmon
45,salmon
46,salmon
47,salmon
48,salmon
49,salmon
50,salmon
51,salmon
52,salmon
53,salmon
54,salmon
55,salmon
56,salmon
57,salmon
58,salmon
59,salmon
60,salmon
61,salmon
62,salmon
63,salmon
64,salmon
65,salmon
66,salmon
67,salmon
68,salmon
69,salmon
70,salmon
71,salmon
72,salmon
73,salmon
74,salmon
75,salmon
76,salmon
77,salmon
78,salmon
79,salmon
80,salmon
81,salmon
82,salmon
83,salmon
84,salmon
85,salmon
86,salmon
87,salmon
88,salmon
89,salmon
90,salmon
91,salmon
92,salmon
93,salmon
94,salmon
95,salmon
96,salmon
97,salmon
98,salmon
99,salmon
100,salmon
101,salmon
102,salmon
103,salmon
104,salmon
105,salmon
106,salmon
107,salmon
108,salmon
109,salmon
110,salmon
111,salmon
112,salmon
113,salmon
114,salmon
115,salmon
116,salmon
117,salmon
118,salmon
119,salmon
120,salmon
121,salmon
122,salmon
123,salmon
124,salmon
125,salmon
126,salmon
127,salmon
128,salmon
129,salmon
130,salmon
131,salmon
132,salmon
133,salmon
134,salmon
135,salmon
136,salmon
137,salmon
138,salmon
139,salmon
140,salmon
141,salmon
142,salmon
143,salmon
144,salmon
145,salmon
146,salmon
147,salmon
148,salmon
149,salmon
150,salmon
151,salmon
152,salmon
153,salmon
154,salmon
155,salmon
156,salmon
157,salmon
158,salmon
159,salmon
160,salmon
161,salmon
162,salmon
163,salmon
164,salmon
165,salmon
166,salmon
167,salmon
168,salmon
169,salmon
170,salmon
171,salmon
172,salmon
173,salmon
174,salmon
175,salmon
176,salmon
177,salmon
178,salmon
179,salmon
180,salmon
181,salmon
182,salmon
183,salmon
184,salmon
185,salmon
186,salmon
187,salmon
188,salmon
189,salmon
190,salmon
191,salmon
192,salmon
193,salmon
194,salmon
195,salmon
196,salmon
197,salmon
198,salmon
199,salmon
200,salmon
201,salmon
202,salmon
203,salmon
204,salmon
205,salmon
206,salmon
207,salmon
208,salmon
209,salmon
210,salmon
211,salmon
212,salmon
213,salmon
214,salmon
215,salmon
216,salmon
217,salmon
218,salmon
219,salmon
220,salmon
221,salmon
222,salmon
223,salmon
224,salmon
225,salmon
226,salmon
227,salmon
228,salmon
229,salmon
230,salmon
231,salmon
232,salmon
233,salmon
234,salmon
235,salmon
236,salmon
237,salmon
238,salmon
239,salmon
240,salmon
